Nodos Aristas Frontera |CMF| Segundos
16 22 7 1 0.00191200000000000
17 23 7 1 0.00001600000000000
18 24 10 3 0.00001300000000000
17 23 7 2 0.00003900000000000
16 22 10 3 0.00004300000000000
18 24 8 2 0.00002900000000000
16 22 7 1 0.00081200000000000
16 22 10 3 0.00001700000000000
18 24 8 1 0.00002300000000000
18 24 8 1 0.00003100000000000
16 22 10 3 0.00002400000000000
17 23 7 2 0.00002300000000000
18 24 10 3 0.00001100000000000
18 24 10 3 0.00004700000000000
17 23 7 2 0.00002800000000000
16 22 7 1 0.00065400000000000
18 24 8 1 0.00002500000000000
19 25 8 1 0.00001500000000000
18 24 8 1 0.00004300000000000
17 23 7 1 0.00001300000000000
19 25 8 1 0.00001100000000000
16 22 7 2 0.00002300000000000
20 34 9 2 0.00003200000000000
17 23 10 3 0.00002300000000000
19 25 10 3 0.00000800000000000
20 34 9 1 0.00004300000000000
20 34 17 4 0.00003400000000000
18 24 10 3 0.00001300000000000
19 25 10 3 0.00001000000000000
19 25 10 3 0.00001000000000000
21 35 17 4 0.00001600000000000
17 23 10 3 0.00001800000000000
20 34 9 1 0.00003200000000000
20 34 9 1 0.00003800000000000
21 35 9 1 0.00001100000000000
19 25 8 1 0.00001300000000000
21 35 17 4 0.00002400000000000
20 34 9 1 0.00002700000000000
20 34 9 1 0.00004000000000000
21 35 17 4 0.00002400000000000
21 35 17 4 0.00002300000000000
19 25 8 1 0.00001300000000000
20 34 9 1 0.00003500000000000
22 36 10 1 0.00004200000000000
21 35 17 4 0.00001200000000000
19 25 10 3 0.00001200000000000
19 25 10 3 0.00001000000000000
22 36 17 4 0.00001600000000000
17 23 7 1 0.00003900000000000
22 36 10 1 0.00003300000000000
21 35 9 1 0.00001500000000000
21 35 9 1 0.00001100000000000
16 22 7 2 0.00002000000000000
22 36 17 4 0.00001100000000000
23 37 17 4 0.00001600000000000
21 35 9 1 0.00001900000000000
23 37 10 2 0.00003300000000000
17 23 10 3 0.00001800000000000
24 49 26 5 0.00002200000000000
17 23 7 2 0.00001500000000000
23 37 10 1 0.00001300000000000
23 37 10 1 0.00001600000000000
23 37 10 1 0.00001200000000000
22 36 17 4 0.00001900000000000
22 36 10 1 0.00004000000000000
24 49 26 5 0.00002900000000000
23 37 10 2 0.00004300000000000
24 49 26 5 0.00002900000000000
24 49 26 5 0.00002500000000000
24 49 11 2 0.00005000000000000
22 36 17 4 0.00001600000000000
23 37 10 1 0.00001600000000000
23 37 17 4 0.00001400000000000
21 35 9 1 0.00002400000000000
20 34 9 1 0.00003400000000000
25 50 26 5 0.00002900000000000
19 25 10 3 0.00001400000000000
24 49 26 5 0.00005000000000000
22 36 10 1 0.00003900000000000
18 24 8 1 0.00008300000000000
22 36 17 4 0.00002000000000000
25 50 11 2 0.00004700000000000
25 50 11 2 0.00005400000000000
24 49 26 5 0.00002700000000000
23 37 10 2 0.00004200000000000
25 50 26 5 0.00001900000000000
25 50 11 2 0.00006300000000000
24 49 26 5 0.00002900000000000
26 51 12 1 0.00004200000000000
26 51 12 1 0.00005100000000000
16 22 7 1 0.00003800000000000
26 51 12 2 0.00005200000000000
26 51 26 5 0.00002100000000000
23 37 17 4 0.00001800000000000
24 49 26 5 0.00002700000000000
27 52 26 5 0.00002700000000000
26 51 26 5 0.00001600000000000
22 36 10 1 0.00004000000000000
26 51 12 1 0.00005800000000000
