Nodos Aristas Frontera |CMF| Segundos
3 3 2 1 0.00074600000000000
3 3 2 1 0.00000200000000000
5 9 6 2 0.00007000000000000
3 3 2 1 0.00000200000000000
4 6 4 2 0.00000300000000000
4 6 4 2 0.00000200000000000
4 6 4 2 0.00074300000000000
4 6 4 2 0.00000400000000000
3 3 2 1 0.00000100000000000
6 12 8 2 0.00000800000000000
4 6 4 2 0.00000300000000000
3 3 2 1 0.00000100000000000
3 3 2 1 0.00000200000000000
6 12 8 2 0.00002100000000000
6 12 8 2 0.00000700000000000
5 9 6 2 0.00000600000000000
4 6 4 2 0.00054300000000000
4 6 4 2 0.00000300000000000
6 12 8 3 0.00002100000000000
5 9 6 2 0.00001400000000000
3 3 2 1 0.00053700000000000
5 9 6 2 0.00001900000000000
6 12 8 2 0.00000600000000000
3 3 2 1 0.00000100000000000
5 9 6 2 0.00001600000000000
7 15 10 3 0.00001100000000000
4 6 4 2 0.00000400000000000
7 15 10 3 0.00001200000000000
6 12 8 2 0.00001100000000000
4 6 4 2 0.00000200000000000
7 15 10 3 0.00001400000000000
7 15 10 3 0.00000900000000000
6 12 8 3 0.00001500000000000
7 15 10 2 0.00006800000000000
8 18 12 3 0.00001400000000000
8 18 12 3 0.00000900000000000
3 3 2 1 0.00054700000000000
7 15 10 3 0.00001700000000000
8 18 12 3 0.00001200000000000
7 15 10 2 0.00001000000000000
6 12 8 2 0.00001700000000000
7 15 10 2 0.00001000000000000
4 6 4 2 0.00000200000000000
8 18 12 3 0.00001000000000000
9 21 14 3 0.00001600000000000
5 9 6 2 0.00001200000000000
9 21 14 3 0.00001700000000000
7 15 10 3 0.00001500000000000
9 21 13 3 0.00002200000000000
8 18 12 3 0.00001300000000000
9 21 13 3 0.00001800000000000
5 9 6 2 0.00000900000000000
9 21 13 3 0.00003800000000000
8 18 12 3 0.00001300000000000
6 12 8 2 0.00001900000000000
10 24 14 3 0.00001900000000000
10 24 15 3 0.00002600000000000
8 18 12 3 0.00001200000000000
10 24 15 3 0.00002500000000000
10 24 14 3 0.00002900000000000
9 21 14 3 0.00001700000000000
5 9 6 2 0.00000800000000000
9 21 13 3 0.00001500000000000
10 24 15 3 0.00002000000000000
5 9 6 2 0.00002200000000000
11 27 15 3 0.00002400000000000
11 27 16 3 0.00002600000000000
6 12 8 3 0.00000800000000000
11 27 16 3 0.00002100000000000
10 24 15 3 0.00005900000000000
11 27 17 3 0.00002600000000000
9 21 13 3 0.00001400000000000
9 21 13 3 0.00002100000000000
12 30 17 3 0.00002500000000000
10 24 15 3 0.00010400000000000
3 3 2 1 0.00000100000000000
12 30 16 3 0.00002100000000000
11 27 16 4 0.00003300000000000
11 27 17 3 0.00002500000000000
11 27 15 3 0.00002100000000000
12 30 17 4 0.00002400000000000
12 30 13 3 0.00002400000000000
12 30 17 3 0.00002400000000000
11 27 16 3 0.00002400000000000
12 30 16 3 0.00002600000000000
13 33 18 3 0.00002700000000000
8 18 12 3 0.00001100000000000
7 15 10 3 0.00001200000000000
12 30 19 3 0.00002000000000000
11 27 17 3 0.00002400000000000
13 33 19 3 0.00002900000000000
10 24 15 3 0.00001900000000000
13 33 20 4 0.00002500000000000
13 33 17 3 0.00002900000000000
13 33 16 3 0.00004900000000000
13 33 19 3 0.00003300000000000
14 36 21 4 0.00003000000000000
13 33 19 3 0.00003200000000000
14 36 20 3 0.00009000000000000
14 36 18 3 0.00003300000000000
13 33 20 3 0.00003300000000000
12 30 18 3 0.00002500000000000
13 33 18 3 0.00002700000000000
5 9 6 2 0.00000800000000000
14 36 19 3 0.00002500000000000
12 30 19 4 0.00003100000000000
14 36 20 3 0.00003600000000000
8 18 10 3 0.00000900000000000
15 39 21 3 0.00003800000000000
14 36 21 3 0.00002800000000000
15 39 20 3 0.00004200000000000
9 21 13 3 0.00013800000000000
15 39 19 3 0.00003600000000000
15 39 22 4 0.00004500000000000
15 39 18 3 0.00003500000000000
16 42 20 4 0.00003000000000000
16 42 24 3 0.00003100000000000
13 33 20 4 0.00003000000000000
15 39 20 3 0.00004300000000000
16 42 21 3 0.00003000000000000
16 42 20 3 0.00003800000000000
16 42 17 3 0.00003200000000000
15 39 22 3 0.00004100000000000
12 30 17 3 0.00003400000000000
