Nodos Aristas Frontera |CMF| Segundos
15 14 6 2 0.00028000000000000
15 14 6 2 0.00002400000000000
16 15 6 2 0.00003000000000000
15 14 5 2 0.00002500000000000
17 16 5 1 0.00002000000000000
15 14 6 2 0.00002200000000000
15 14 5 2 0.00066200000000000
15 14 6 2 0.00002200000000000
15 14 6 2 0.00001800000000000
16 15 6 2 0.00003000000000000
17 16 6 2 0.00003900000000000
17 16 6 2 0.00001900000000000
17 16 5 1 0.00002400000000000
16 15 5 2 0.00003100000000000
18 17 5 1 0.00002100000000000
17 16 6 2 0.00001900000000000
18 17 6 2 0.00001900000000000
15 14 6 2 0.00002800000000000
16 15 6 2 0.00090200000000000
15 14 6 2 0.00003100000000000
17 16 6 2 0.00001900000000000
17 16 5 1 0.00002800000000000
18 17 6 2 0.00002000000000000
18 17 6 2 0.00002000000000000
18 17 6 2 0.00002000000000000
18 17 5 2 0.00002100000000000
17 16 5 2 0.00090500000000000
19 18 6 2 0.00002000000000000
18 17 6 2 0.00002400000000000
19 18 5 2 0.00002800000000000
19 18 5 2 0.00002200000000000
19 18 6 2 0.00002100000000000
19 18 5 2 0.00002100000000000
19 18 6 2 0.00002000000000000
19 18 6 2 0.00003400000000000
19 18 5 2 0.00002200000000000
20 19 6 2 0.00002200000000000
20 19 6 2 0.00002200000000000
20 19 5 1 0.00002300000000000
20 19 6 2 0.00002700000000000
16 15 6 2 0.00002700000000000
20 19 5 2 0.00002300000000000
19 18 5 2 0.00002200000000000
19 18 5 2 0.00003400000000000
21 20 6 2 0.00002700000000000
21 20 6 2 0.00002800000000000
18 17 6 2 0.00002100000000000
21 20 6 2 0.00003900000000000
20 19 5 1 0.00002600000000000
16 15 6 2 0.00005000000000000
20 19 5 2 0.00003000000000000
21 20 5 1 0.00003000000000000
21 20 5 1 0.00003100000000000
21 20 6 2 0.00002700000000000
21 20 6 2 0.00002300000000000
15 14 5 1 0.00025400000000000
16 15 5 2 0.00002100000000000
22 21 5 2 0.00002500000000000
22 21 5 2 0.00002600000000000
17 16 6 2 0.00002300000000000
22 21 6 2 0.00002400000000000
22 21 6 2 0.00003100000000000
21 20 5 2 0.00002700000000000
23 22 5 2 0.00002600000000000
20 19 6 2 0.00002200000000000
22 21 5 1 0.00002500000000000
23 22 5 1 0.00002800000000000
23 22 5 1 0.00003400000000000
23 22 5 2 0.00002800000000000
23 22 6 2 0.00002600000000000
23 22 6 2 0.00003300000000000
23 22 5 2 0.00002500000000000
24 23 6 2 0.00002600000000000
21 20 6 2 0.00002300000000000
24 23 6 2 0.00002700000000000
22 21 6 2 0.00002500000000000
23 22 5 2 0.00002400000000000
18 17 5 2 0.00002600000000000
24 23 5 1 0.00002900000000000
23 22 6 2 0.00002500000000000
24 23 5 2 0.00003000000000000
21 20 6 2 0.00003200000000000
24 23 5 2 0.00002800000000000
24 23 5 1 0.00002900000000000
22 21 5 2 0.00002600000000000
24 23 6 2 0.00002600000000000
25 24 5 1 0.00003700000000000
24 23 5 2 0.00002900000000000
25 24 6 2 0.00003200000000000
22 21 6 2 0.00002500000000000
25 24 5 2 0.00002600000000000
25 24 6 2 0.00003400000000000
23 22 5 2 0.00003600000000000
25 24 5 2 0.00003500000000000
25 24 5 1 0.00003000000000000
26 25 5 1 0.00004200000000000
22 21 5 1 0.00003300000000000
26 25 5 2 0.00003100000000000
26 25 5 2 0.00003100000000000
26 25 6 2 0.00003400000000000
26 25 6 2 0.00002900000000000
22 21 5 2 0.00003200000000000
26 25 5 2 0.00003100000000000
27 26 5 2 0.00003200000000000
16 15 6 2 0.00002400000000000
25 24 5 1 0.00003800000000000
25 24 5 2 0.00003600000000000
24 23 6 2 0.00003400000000000
26 25 5 2 0.00002800000000000
27 26 6 2 0.00003100000000000
27 26 6 2 0.00003000000000000
28 27 5 2 0.00002900000000000
27 26 5 1 0.00003200000000000
26 25 5 2 0.00003600000000000
27 26 6 2 0.00003100000000000
26 25 5 2 0.00003400000000000
28 27 5 2 0.00003300000000000
28 27 6 2 0.00003200000000000
