Nodos Aristas Frontera |CMF| Segundos
4 6 4 4 0.00081800000000000
2 1 1 2 0.00080400000000000
4 6 4 4 0.00000400000000000
3 3 2 2 0.00000200000000000
3 3 2 2 0.00000200000000000
3 3 2 2 0.00000400000000000
2 1 1 2 0.00014800000000000
3 3 2 2 0.00000100000000000
3 3 2 2 0.00000200000000000
3 3 2 2 0.00000900000000000
4 6 4 4 0.00000200000000000
4 6 4 4 0.00000200000000000
4 6 4 4 0.00000100000000000
2 1 1 2 0.00001200000000000
2 1 1 2 0.00001700000000000
5 8 5 2 0.00002100000000000
2 1 1 2 0.00001200000000000
4 6 4 4 0.00000200000000000
5 8 5 2 0.00004400000000000
2 1 1 2 0.00000500000000000
6 10 6 2 0.00002200000000000
2 1 1 2 0.00000700000000000
5 8 5 2 0.00000700000000000
2 1 1 2 0.00013600000000000
6 10 6 2 0.00001600000000000
5 8 5 2 0.00001600000000000
3 3 2 2 0.00000200000000000
6 10 6 2 0.00000900000000000
5 8 5 2 0.00001000000000000
5 8 5 2 0.00000900000000000
6 10 6 2 0.00001300000000000
6 10 6 2 0.00003300000000000
7 12 7 2 0.00001400000000000
4 6 4 4 0.00000200000000000
7 12 7 2 0.00001000000000000
7 12 7 2 0.00000900000000000
5 8 5 2 0.00000800000000000
5 8 5 2 0.00007400000000000
6 10 6 2 0.00002400000000000
7 12 7 2 0.00000900000000000
5 8 5 2 0.00002600000000000
7 12 7 2 0.00000900000000000
6 10 6 2 0.00001700000000000
4 6 4 4 0.00000100000000000
6 10 6 2 0.00002100000000000
3 3 2 2 0.00000300000000000
2 1 1 2 0.00000600000000000
8 14 8 2 0.00006800000000000
4 6 4 4 0.00000300000000000
7 12 7 2 0.00004700000000000
8 14 8 2 0.00000900000000000
4 6 4 4 0.00000100000000000
7 12 7 2 0.00001200000000000
9 16 9 2 0.00001300000000000
7 12 7 2 0.00001200000000000
9 16 9 2 0.00001500000000000
3 3 2 2 0.00000200000000000
9 16 9 2 0.00001800000000000
8 14 8 2 0.00000900000000000
5 8 5 2 0.00005900000000000
9 16 9 2 0.00002000000000000
2 1 1 2 0.00000700000000000
9 16 9 2 0.00001600000000000
10 18 10 2 0.00002300000000000
8 14 8 2 0.00001100000000000
8 14 8 2 0.00001500000000000
10 18 10 2 0.00001400000000000
7 12 7 2 0.00001200000000000
8 14 8 2 0.00001100000000000
8 14 8 2 0.00001000000000000
10 18 10 2 0.00002100000000000
10 18 10 2 0.00001700000000000
9 16 9 2 0.00002000000000000
9 16 9 2 0.00001200000000000
9 16 9 2 0.00001600000000000
10 18 10 2 0.00002500000000000
11 20 11 2 0.00002200000000000
10 18 10 2 0.00001900000000000
11 20 11 2 0.00001700000000000
11 20 11 2 0.00002600000000000
11 20 11 2 0.00003300000000000
12 22 12 2 0.00002000000000000
9 16 9 2 0.00001700000000000
11 20 11 2 0.00003000000000000
10 18 10 2 0.00001600000000000
12 22 12 2 0.00002500000000000
7 12 7 2 0.00001500000000000
12 22 12 2 0.00002100000000000
8 14 8 2 0.00001200000000000
11 20 11 2 0.00001700000000000
12 22 12 2 0.00002400000000000
11 20 11 2 0.00003100000000000
11 20 11 2 0.00002500000000000
8 14 8 2 0.00001200000000000
12 22 12 2 0.00002000000000000
10 18 10 2 0.00001900000000000
6 10 6 2 0.00002000000000000
13 24 13 2 0.00002800000000000
13 24 13 2 0.00002300000000000
12 22 12 2 0.00002500000000000
14 26 14 2 0.00002600000000000
