Nodos Aristas Frontera |CMF| Segundos
2 1 1 2 0.00072300000000000
2 1 1 2 0.00001000000000000
2 1 1 2 0.00000900000000000
3 2 2 1 0.00138000000000000
3 2 2 1 0.00002200000000000
4 5 4 2 0.00034600000000000
4 5 4 2 0.00000800000000000
2 1 1 2 0.00000600000000000
2 1 1 2 0.00001000000000000
3 2 2 1 0.00000800000000000
4 5 4 2 0.00066700000000000
5 7 5 2 0.00000600000000000
4 4 3 2 0.00000600000000000
3 2 2 1 0.00002600000000000
2 1 1 2 0.00001200000000000
4 4 3 2 0.00000300000000000
3 2 2 1 0.00002600000000000
5 7 5 2 0.00001200000000000
5 9 6 2 0.00000600000000000
5 8 6 2 0.00000700000000000
5 8 6 2 0.00000500000000000
3 2 2 1 0.00000900000000000
4 5 4 2 0.00000600000000000
3 2 2 1 0.00001000000000000
5 7 4 2 0.00001200000000000
4 5 4 2 0.00001000000000000
6 10 6 2 0.00001100000000000
6 14 9 3 0.00000700000000000
6 10 7 2 0.00001800000000000
6 10 6 2 0.00000500000000000
4 5 4 2 0.00000500000000000
3 2 2 1 0.00002600000000000
7 19 12 3 0.00000800000000000
7 17 10 3 0.00000600000000000
6 12 7 2 0.00001300000000000
2 1 1 2 0.00013400000000000
6 11 8 2 0.00000900000000000
7 18 11 3 0.00000700000000000
2 1 1 2 0.00001200000000000
2 1 1 2 0.00000900000000000
8 23 15 3 0.00000700000000000
4 5 4 2 0.00000800000000000
6 13 9 3 0.00001100000000000
7 17 11 3 0.00000700000000000
5 9 6 2 0.00000500000000000
5 6 4 2 0.00000500000000000
3 2 2 1 0.00000800000000000
8 23 14 3 0.00000600000000000
6 13 9 3 0.00001700000000000
7 20 12 3 0.00000600000000000
6 11 6 2 0.00001000000000000
8 24 13 3 0.00000700000000000
8 25 15 3 0.00000700000000000
4 4 3 2 0.00000500000000000
7 18 12 3 0.00000700000000000
8 21 13 3 0.00000600000000000
7 18 11 3 0.00000600000000000
9 33 20 4 0.00001200000000000
3 2 2 1 0.00001700000000000
9 33 20 4 0.00000800000000000
9 30 18 4 0.00001000000000000
9 24 15 3 0.00000700000000000
10 42 25 5 0.00001300000000000
5 8 6 2 0.00001000000000000
8 23 14 3 0.00000600000000000
10 32 19 4 0.00001800000000000
9 27 17 3 0.00001100000000000
7 17 12 3 0.00001600000000000
10 38 23 4 0.00003000000000000
7 14 8 2 0.00000600000000000
10 33 21 4 0.00002000000000000
8 22 15 3 0.00000800000000000
8 22 14 3 0.00000900000000000
11 43 27 5 0.00001300000000000
8 23 13 3 0.00000800000000000
11 51 30 5 0.00001100000000000
10 41 24 4 0.00002800000000000
10 42 25 5 0.00001400000000000
11 46 28 5 0.00001400000000000
10 40 24 4 0.00002100000000000
11 47 27 5 0.00001000000000000
11 42 24 4 0.00000900000000000
7 17 10 3 0.00000700000000000
9 29 18 3 0.00000600000000000
11 37 19 4 0.00001100000000000
12 46 25 4 0.00001100000000000
12 65 36 6 0.00001200000000000
12 63 36 6 0.00001500000000000
12 57 35 5 0.00001600000000000
10 35 20 4 0.00001800000000000
8 27 16 4 0.00000800000000000
10 36 22 4 0.00000800000000000
12 46 29 4 0.00001300000000000
10 35 21 4 0.00001400000000000
13 58 35 5 0.00001600000000000
13 58 33 5 0.00002000000000000
13 57 35 5 0.00001300000000000
11 52 30 5 0.00001200000000000
12 52 30 5 0.00001400000000000
12 46 28 5 0.00001100000000000
9 26 15 3 0.00000900000000000
12 59 34 5 0.00001300000000000
13 59 34 5 0.00002100000000000
13 67 39 6 0.00002400000000000
14 87 49 7 0.00001500000000000
13 65 35 5 0.00001700000000000
14 70 39 5 0.00001400000000000
13 75 42 6 0.00002500000000000
13 58 32 5 0.00001700000000000
14 70 38 5 0.00001500000000000
14 81 47 6 0.00002000000000000
11 46 29 5 0.00001400000000000
9 29 19 4 0.00000900000000000
12 56 30 5 0.00001400000000000
15 97 54 7 0.00002100000000000
13 76 42 6 0.00002300000000000
15 97 56 7 0.00002000000000000
14 84 48 6 0.00001600000000000
14 85 49 7 0.00001900000000000
13 65 38 5 0.00002200000000000
15 100 56 7 0.00002500000000000
15 98 56 7 0.00002700000000000
16 97 57 7 0.00002300000000000
12 45 24 4 0.00001800000000000
5 9 6 2 0.00000500000000000
15 98 56 7 0.00001600000000000
16 99 53 6 0.00003400000000000
15 71 37 5 0.00001900000000000
15 73 35 5 0.00001900000000000
9 33 20 4 0.00001400000000000
16 91 52 6 0.00002400000000000
11 48 27 5 0.00001300000000000
14 68 38 5 0.00002500000000000
15 93 55 7 0.00001700000000000
14 76 46 6 0.00001900000000000
16 96 54 6 0.00001800000000000
9 28 17 3 0.00001100000000000
16 113 63 7 0.00008100000000000
17 107 54 7 0.00001900000000000
17 109 60 7 0.00003400000000000
11 50 30 5 0.00001400000000000
17 131 72 8 0.00002100000000000
17 102 59 7 0.00003300000000000
16 80 38 5 0.00001600000000000
17 115 61 7 0.00003500000000000
17 124 69 8 0.00003600000000000
16 108 59 7 0.00002300000000000
15 97 54 7 0.00001700000000000
18 111 55 6 0.00002200000000000
14 76 45 6 0.00002300000000000
18 128 73 8 0.00002900000000000
16 117 64 8 0.00002600000000000
17 126 69 8 0.00002500000000000
18 138 77 8 0.00003800000000000
18 140 78 8 0.00003700000000000
17 114 67 7 0.00005200000000000
17 99 52 6 0.00003300000000000
6 10 7 2 0.00001800000000000
18 144 80 8 0.00003600000000000
15 94 53 7 0.00002200000000000
19 163 90 9 0.00004400000000000
16 91 51 6 0.00002300000000000
14 66 39 5 0.00001800000000000
2 1 1 2 0.00000800000000000
18 136 72 8 0.00003300000000000
18 135 76 8 0.00003200000000000
19 148 86 8 0.00004300000000000
19 159 88 9 0.00004200000000000
20 141 70 7 0.00003500000000000
18 115 61 7 0.00002800000000000
20 171 95 9 0.00003800000000000
17 100 53 6 0.00002000000000000
19 138 79 8 0.00004000000000000
19 168 90 9 0.00003400000000000
19 130 69 7 0.00002600000000000
16 101 58 7 0.00003300000000000
19 154 87 9 0.00003200000000000
20 163 90 9 0.00004300000000000
20 160 87 8 0.00004700000000000
21 160 79 8 0.00003000000000000
18 112 64 7 0.00002300000000000
20 181 100 10 0.00003700000000000
20 145 76 8 0.00004700000000000
20 139 72 7 0.00004100000000000
22 166 79 7 0.00003400000000000
21 141 68 7 0.00004200000000000
21 183 101 9 0.00004200000000000
21 155 80 8 0.00003500000000000
22 178 94 8 0.00005300000000000
21 187 101 9 0.00004600000000000
22 185 104 9 0.00004500000000000
22 222 121 11 0.00005200000000000
20 150 74 8 0.00004400000000000
21 174 98 9 0.00004100000000000
19 162 90 9 0.00004100000000000
20 135 67 7 0.00004200000000000
23 243 132 11 0.00005200000000000
21 173 95 9 0.00003900000000000
21 160 87 8 0.00003100000000000
21 162 83 8 0.00003800000000000
19 125 62 6 0.00003300000000000
22 204 110 10 0.00005600000000000
21 190 105 9 0.00003800000000000
22 201 113 10 0.00004400000000000
22 159 81 8 0.00003100000000000
23 250 132 11 0.00005100000000000
22 211 117 10 0.00005900000000000
22 206 112 10 0.00004400000000000
24 199 105 9 0.00003900000000000
